,date,open,high,close,low,volume,turnover,alt,itl
0,2017/10/23,4.9,4.98,4.94,4.9,49066.31,0.52,0.0200803212851,-1
1,2017/10/20,4.84,4.9,4.9,4.83,53273.88,0.56,0.0261707988981,-1
2,2017/10/19,4.91,4.95,4.84,4.83,69482.61,0.73,0.0246238030096,1
3,2017/10/18,5.03,5.06,4.91,4.91,80203.24,0.84,0.0123119015048,-1
4,2017/10/17,5.02,5.07,5.03,5.01,39928.23,0.42,0.0219178082192,1
5,2017/10/16,5.15,5.16,5.04,5.03,128339.37,1.35,0.0162601626016,1
6,2017/10/13,5.08,5.26,5.2,5.04,141959.05,1.49,0.00807537012113,-1
7,2017/10/12,5.16,5.19,5.08,5.06,91924.97,0.97,0.0213618157543,1
8,2017/10/11,5.11,5.16,5.16,5.08,105574.18,1.11,0.0257452574526,-1
9,2017/10/10,5.08,5.12,5.1,5.04,98293.8,1.03,0.0305131761442,-1
10,2017/10/9,5.08,5.12,5.08,5.06,69803.23,0.73,0.0152990264256,1
11,2017/9/29,5.01,5.08,5.05,5.01,55655.94,0.59,0.0138888888889,-1
12,2017/9/28,5.09,5.09,5.01,5.0,64555.93,0.68,0.0166898470097,1
13,2017/9/27,5.03,5.1,5.09,5.03,63034.57,0.66,0.0180055401662,1
14,2017/9/26,5.05,5.06,5.04,5.0,59866.43,0.63,0.0205479452055,1
15,2017/9/25,5.09,5.09,5.05,5.03,92891.75,0.98,0.0367346938776,1
16,2017/9/22,5.2,5.2,5.12,5.1,85135.07,0.9,0.0135135135135,1
17,2017/9/21,5.29,5.29,5.16,5.16,134269.0,1.41,0.0134228187919,1
18,2017/9/20,5.3,5.33,5.29,5.22,153149.05,1.61,0.0415549597855,1
19,2017/9/19,5.25,5.47,5.34,5.21,279301.44,2.94,0.0325644504749,-1
20,2017/9/18,5.21,5.29,5.25,5.18,140114.2,1.47,0.0284167794317,1
21,2017/9/15,5.18,5.3,5.23,5.18,182670.59,1.92,0.0146862483311,-1
22,2017/9/14,5.25,5.34,5.2,5.17,210313.41,2.21,0.0107382550336,-1
23,2017/9/13,5.23,5.38,5.25,5.23,298810.88,3.14,0.0148849797023,-1
